thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,breakimg.started,break2img.started,key_resp_4.started,breakimg.stopped,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.008821500000522065,0.008910500000638422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
,,,,,,,,,,,,,,,,,0.008939199999986158,0.008978700000625395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
,,,,,,,,,,,,,,,,,,,0.009048500000062631,0.014707500000440632,0.014707500000440632,16.34239780000007,space,16.222434199999952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,16.342439000000013,16.345682500000294,16.345682500000294,26.99632560000009,space,10.6433947000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
0,0,0,None,None,,,,,0,0,0,0,27.012751900000694,,,,,,,,,,,,,,,,,,,,26.998557700000674,27.012751900000694,27.54581169999983,27.52992540000014,2,27.54216340000039,27.54581169999983,27.54581169999983,28.04609950000031,28.04609950000031,28.029576400000224,None,28.02961630000027,28.02964080000038,None,,,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
1,0,1,down,None,0.030881099999533035,0.15213980000044103,,,1,0,1,0,28.04609950000031,,,,,,,,,,,,,,,,,,,,28.029762400000436,28.04609950000031,28.846164999999928,28.829992900000434,2,28.843522099999973,28.846164999999928,28.846164999999928,29.3461084999999,29.3461084999999,29.329885000000104,down,29.329948000000513,29.329980700000306,None,0.030881099999533035,0.15213980000044103,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
2,0,2,None,None,,,,,2,0,2,0,29.3461084999999,,,,,,,,,,,,,,,,,,,,29.330191600000035,29.3461084999999,29.928767100000186,29.912881400000515,1,29.924733599999854,29.928767100000186,29.928767100000186,,,30.413125400000354,None,30.41319300000032,30.413229100000535,None,,,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
3,0,3,None,None,,,,,3,0,3,0,30.429516900000635,,,,,,,,,,,,,,,,,,,,30.41341730000022,30.429516900000635,31.129135700000006,31.112492700000075,2,31.124996000000465,31.129135700000006,31.129135700000006,,,31.612981199999922,None,31.61304310000014,31.61308199999985,None,,,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
4,0,4,up,None,0.24126710000018647,0.16806660000020202,,,4,0,4,0,31.629357300000265,,,,,,,,,,,,,,,,,,,,31.61328599999979,31.629357300000265,32.395726800000375,32.37949759999992,2,32.39194399999997,32.395726800000375,32.395726800000375,,,32.879778700000315,up,32.879862499999945,32.87990510000054,None,0.24126710000018647,0.16806660000020202,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
5,0,5,None,None,,,,,5,0,5,0,32.89622839999993,,,,,,,,,,,,,,,,,,,,32.8801282000004,32.89622839999993,33.82917030000044,33.81278850000035,1,33.82574310000018,33.82917030000044,33.82917030000044,34.32948690000012,34.32948690000012,34.312871400000404,None,34.312938699999904,34.312977700000374,None,,,,,,,,,,,,,007,001,2026-01-28_15h59.42.276,NESC3137_EEG_experiment,,2025.1.1,59.9663468862097,2026-01-28 16h00.19.980177 -0400,
