thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,breakimg.started,breakimg.stopped,break2img.started,key_resp_4.started,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
6,0,6,down,None,0.3593778999929782,None,,,6,0,6,0,24.580524800010608,,,,,,,,,,,,,,,,,,,,24.57437000000209,24.580524800010608,25.538791500002844,25.532055900010164,2,25.53386940000928,25.538791500002844,25.538791500002844,26.03210830000171,26.03210830000171,26.025019000007887,down,26.02507719999994,26.02510600000096,None,0.3593778999929782,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
7,0,7,down,None,0.36314270000730176,None,,,7,0,7,0,26.03210830000171,,,,,,,,,,,,,,,,,,,,26.025304300012067,26.03210830000171,26.823382100003073,26.817292800013092,2,26.819490900001256,26.823382100003073,26.823382100003073,27.31626910000341,27.31626910000341,27.311202200013213,down,27.311259400012204,27.311289000004763,None,0.36314270000730176,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
8,0,8,up,None,0.4540643999935128,None,,,8,0,8,0,27.31626910000341,,,,,,,,,,,,,,,,,,,,27.31149480000022,27.31626910000341,27.9001711000019,27.893613200008986,1,27.895429900003364,27.9001711000019,27.9001711000019,28.393624800010002,28.393624800010002,28.38715890000458,up,28.387240200012457,28.387270400009584,None,0.4540643999935128,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
9,0,9,None,None,,,,,9,0,9,0,28.393624800010002,,,,,,,,,,,,,,,,,,,,28.38743400000385,28.393624800010002,29.046220700009144,29.039572500012582,1,29.04257810000854,29.046220700009144,29.046220700009144,29.54033060000802,29.54033060000802,29.53277820000949,None,29.532830700001796,29.532858500009752,None,,,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
10,0,10,up,None,0.4537373000057414,None,,,10,0,10,0,29.54033060000802,,,,,,,,,,,,,,,,,,,,29.53304890000436,29.54033060000802,30.47666680000839,30.470389900001464,1,30.47275570000056,30.47666680000839,30.47666680000839,30.969804899999872,30.969804899999872,30.96316410000145,up,30.96321960000205,30.963248800006113,None,0.4537373000057414,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
11,0,11,up,None,0.3384316999872681,0.11845950000861194,,,11,0,11,0,30.969804899999872,,,,,,,,,,,,,,,,,,,,30.96342569999979,30.969804899999872,31.92133320000721,31.914755200006766,1,31.917120300000533,31.92133320000721,31.92133320000721,32.41464230000565,32.41464230000565,32.40750530001242,up,32.40756240001065,32.40759240000625,None,0.3384316999872681,0.11845950000861194,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
12,0,12,up,None,0.331688899997971,0.11962810000113677,,,12,0,12,0,32.41464230000565,,,,,,,,,,,,,,,,,,,,32.40777340000204,32.41464230000565,33.3667848000041,33.359733400007826,1,33.361593800000264,33.3667848000041,33.3667848000041,33.85927630000515,33.85927630000515,33.8521929000126,up,33.85225650000211,33.85228720000305,None,0.331688899997971,0.11962810000113677,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
13,0,13,up,None,0.34703620000800584,0.10435460000007879,,,13,0,13,0,33.85927630000515,,,,,,,,,,,,,,,,,,,,33.85247330000857,33.85927630000515,34.567307200006326,34.56083539999963,1,34.56304340000497,34.567307200006326,34.567307200006326,35.060276000003796,35.060276000003796,35.055993900008616,up,35.05606160000025,35.056091700011166,None,0.34703620000800584,0.10435460000007879,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
14,0,14,up,None,0.38155010000627954,None,,,14,0,14,0,35.060276000003796,,,,,,,,,,,,,,,,,,,,35.05633690000104,35.060276000003796,35.63731970000663,35.63036410001223,1,35.63215350000246,35.63731970000663,35.63731970000663,36.13008930000069,36.13008930000069,36.12403410000843,up,36.12409040000057,36.124116100007086,None,0.38155010000627954,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
15,0,15,up,None,0.3562326999963261,0.11832340000546537,,,15,0,15,0,36.13008930000069,,,,,,,,,,,,,,,,,,,,36.12429710000288,36.13008930000069,37.095584900001995,37.089166500009014,1,37.09155910000845,37.095584900001995,37.095584900001995,37.589077800003,37.589077800003,37.582355500009726,up,37.582421500002965,37.5824513000116,None,0.3562326999963261,0.11832340000546537,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
