thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,faceStim.stopped,key_resp_3.stopped,breakimg.started,break2img.started,key_resp_4.started,breakimg.stopped,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009665799996582791,0.009753899998031557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
,,,,,,,,,,,,,,,,,0.009784900001250207,0.00982020000810735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
,,,,,,,,,,,,,,,,,,,0.009879000004730187,0.017559400002937764,0.017559400002937764,2.240804900007788,space,2.1326218000031076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.2408387000032235,2.243520800009719,2.243520800009719,9.708738100001938,space,7.458661600001506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
0,0,0,None,None,,,,,0,0,0,0,9.713319500006037,,,,,,,,,,,,,,,,,,,,9.710357200005092,9.713319500006037,10.320068300003186,10.30503889999818,2,10.318171999999322,10.320068300003186,10.320068300003186,10.808767499998794,None,10.80880870000692,10.808829500005231,None,,,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
1,0,1,down,None,0.1916436000028625,0.11199219999252819,,,1,0,1,0,10.816002599996864,,,,,,,,,,,,,,,,,,,,10.808947900004569,10.816002599996864,11.438568600002327,11.420249999995576,1,11.436503899996751,11.438568600002327,11.438568600002327,11.925849100007326,down,11.925893200008431,11.925914599996759,None,0.1916436000028625,0.11199219999252819,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
2,0,2,down,None,0.4269746999925701,None,,,2,0,2,0,11.93426370000816,,,,,,,,,,,,,,,,,,,,11.92603109999618,11.93426370000816,12.787247700005537,12.773681999999098,2,12.785023400007049,12.787247700005537,12.787247700005537,13.275513500004308,down,13.275594599996111,13.27561520000745,None,0.4269746999925701,None,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
3,0,3,down,None,0.3996061999932863,None,,,3,0,3,0,13.281785300001502,,,,,,,,,,,,,,,,,,,,13.275737200005096,13.281785300001502,14.254623800006812,14.239841999995406,2,14.252570700002252,14.254623800006812,14.254623800006812,14.741597200001706,down,14.741638899999089,14.741656199999852,None,0.3996061999932863,None,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
4,0,4,down,None,0.3616970000002766,None,,,4,0,4,0,14.748321400009445,,,,,,,,,,,,,,,,,,,,14.741772000008496,14.748321400009445,15.428563900000881,15.415094500000123,2,15.42648380000901,15.428563900000881,15.428563900000881,15.915338699996937,down,15.915382000006502,15.915398700002697,None,0.3616970000002766,None,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
5,0,5,None,None,,,,,5,0,5,0,15.923124799999641,,,,,,,,,,,,,,,,,,,,15.915510999999242,15.923124799999641,16.652136000004248,16.63949080000748,1,16.650285700001405,16.652136000004248,16.652136000004248,17.140589900009218,None,17.1406827000028,17.14071990000957,None,,,,,,,,,,,,,,,003,001,2026-01-21_16h26.10.246,NESC3137_EEG_experiment,,2025.1.1,141.96801744858067,2026-01-21 16h26.32.575469 -0400,
