thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,breakimg.started,breakimg.stopped,break2img.started,key_resp_4.started,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.2383356000063941,0.23840849997941405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
,,,,,,,,,,,,,,,,,0.23842539999168366,0.23844689992256463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
,,,,,,,,,,,,,,,,,,,0.23849689995404333,0.2658597999252379,0.2658597999252379,47.86005539994221,space,47.59207479993347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,47.86009249999188,47.86530679999851,47.86530679999851,57.83916639990639,space,9.969017200055532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
0,0,0,None,None,,,,,0,0,0,0,57.846392999985255,,,,,,,,,,,,,,,,,,,,57.84212970000226,57.846392999985255,58.43370529997628,58.41831939993426,2,58.432461499935016,58.43370529997628,58.43370529997628,58.92220549995545,58.92220549995545,58.91829870000947,None,58.91833539993968,58.91835569997784,None,,,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
1,0,1,None,None,,,,,1,0,1,0,58.92220549995545,,,,,,,,,,,,,,,,,,,,58.91847379994579,58.92220549995545,59.66739499999676,59.651668199920096,1,59.66602259990759,59.66739499999676,59.66739499999676,60.15561399993021,60.15561399993021,60.15163809992373,None,60.15167269995436,60.151689899968915,None,,,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
2,0,2,down,None,0.4785515000112355,None,,,2,0,2,0,60.15561399993021,,,,,,,,,,,,,,,,,,,,60.15181189996656,60.15561399993021,60.78318439994473,60.76870609994512,2,60.78179369994905,60.78318439994473,60.78318439994473,61.272480099927634,61.272480099927634,61.26859919994604,down,61.26864439994097,61.26866369997151,None,0.4785515000112355,None,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
3,0,3,None,None,,,,,3,0,3,0,61.272480099927634,,,,,,,,,,,,,,,,,,,,61.26879749994259,61.272480099927634,61.89758119999897,61.88129819999449,1,61.89549859997351,61.89758119999897,61.89758119999897,62.384969700011425,62.384969700011425,62.380857300013304,None,62.38089749997016,62.3809449999826,None,,,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
4,0,4,down,None,0.4240198000334203,None,,,4,0,4,0,62.384969700011425,,,,,,,,,,,,,,,,,,,,62.381073399912566,62.384969700011425,63.0858440999873,63.07243269996252,1,63.08461569994688,63.0858440999873,63.0858440999873,,,63.57301329995971,down,63.573066400014795,63.5730880999472,None,0.4240198000334203,None,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
5,0,5,None,None,,,,,5,0,5,0,63.57664629991632,,,,,,,,,,,,,,,,,,,,63.573261599987745,63.57664629991632,64.14488519995939,64.13099049997982,1,64.1435935999034,64.14488519995939,64.14488519995939,64.6349210999906,64.6349210999906,64.63105179998092,None,64.63111289998051,64.63113309990149,None,,,,,,,,,,,,,010,001,2026-01-28_16h55.09.607,NESC3137_EEG_experiment,,2025.2.4,238.34890995554127,2026-01-28 16h55.10.142300 -0400,
